,time,temp,feels,wind,gust,rain,humidity,cloud,pressure,vis,date
3802,06:00,8 °c,5 °c,16 km/h from S,23 km/h,0.0 mm,84%,71%,976 mb,Excellent,2019-12-20
3803,09:00,7 °c,5 °c,13 km/h from S,19 km/h,0.1 mm,83%,81%,976 mb,Excellent,2019-12-20
3804,12:00,7 °c,5 °c,14 km/h from SSW,18 km/h,0.0 mm,84%,44%,976 mb,Excellent,2019-12-20
3805,15:00,6 °c,4 °c,15 km/h from SW,21 km/h,0.0 mm,84%,46%,975 mb,Excellent,2019-12-20
3806,18:00,5 °c,2 °c,14 km/h from SW,22 km/h,0.0 mm,87%,8%,977 mb,Excellent,2019-12-20
3807,21:00,5 °c,2 °c,10 km/h from SSW,17 km/h,0.0 mm,89%,9%,977 mb,Excellent,2019-12-20
3808,00:00,5 °c,2 °c,14 km/h from SW,22 km/h,0.0 mm,88%,5%,978 mb,Excellent,2019-12-21
3809,03:00,5 °c,3 °c,8 km/h from SSW,13 km/h,0.0 mm,90%,11%,978 mb,Excellent,2019-12-21
3810,06:00,5 °c,4 °c,4 km/h from S,7 km/h,0.0 mm,91%,100%,978 mb,Excellent,2019-12-21
3811,09:00,4 °c,4 °c,4 km/h from NE,6 km/h,0.0 mm,92%,54%,977 mb,Excellent,2019-12-21
3812,12:00,5 °c,5 °c,4 km/h from E,6 km/h,0.0 mm,88%,100%,975 mb,Excellent,2019-12-21
3813,15:00,6 °c,5 °c,5 km/h from E,8 km/h,0.0 mm,87%,98%,974 mb,Excellent,2019-12-21
3814,18:00,5 °c,4 °c,5 km/h from E,8 km/h,0.0 mm,88%,42%,974 mb,Excellent,2019-12-21
3815,21:00,5 °c,5 °c,4 km/h from E,6 km/h,0.0 mm,87%,58%,974 mb,Excellent,2019-12-21
3816,00:00,5 °c,5 °c,1 km/h from NNW,1 km/h,0.0 mm,92%,78%,975 mb,Excellent,2019-12-22
3817,03:00,5 °c,4 °c,3 km/h from SE,5 km/h,0.0 mm,91%,67%,977 mb,Excellent,2019-12-22
3818,06:00,5 °c,4 °c,4 km/h from SSE,5 km/h,0.0 mm,89%,47%,978 mb,Excellent,2019-12-22
3819,09:00,4 °c,4 °c,5 km/h from SSW,8 km/h,0.0 mm,88%,72%,979 mb,Excellent,2019-12-22
3820,12:00,6 °c,5 °c,5 km/h from SW,7 km/h,0.0 mm,85%,75%,981 mb,Excellent,2019-12-22
3821,15:00,5 °c,4 °c,8 km/h from SW,11 km/h,0.0 mm,90%,99%,982 mb,Excellent,2019-12-22
3822,18:00,1 °c,1 °c,8 km/h from SW,11 km/h,0.0 mm,90%,100%,985 mb,Excellent,2019-12-22
3823,21:00,-3 °c,-3 °c,11 km/h from SW,16 km/h,0.0 mm,90%,58%,987 mb,Excellent,2019-12-22
3824,00:00,4 °c,1 °c,9 km/h from SW,16 km/h,0.0 mm,92%,72%,988 mb,Excellent,2019-12-23
3825,03:00,5 °c,2 °c,12 km/h from WSW,18 km/h,0.0 mm,93%,79%,991 mb,Excellent,2019-12-23
3826,06:00,5 °c,2 °c,17 km/h from WSW,27 km/h,0.0 mm,90%,68%,993 mb,Excellent,2019-12-23
3827,09:00,6 °c,2 °c,20 km/h from SW,30 km/h,0.0 mm,88%,84%,995 mb,Excellent,2019-12-23
3828,12:00,7 °c,3 °c,30 km/h from WSW,39 km/h,0.4 mm,86%,100%,997 mb,Poor,2019-12-23
3829,15:00,7 °c,3 °c,28 km/h from WSW,39 km/h,0.3 mm,77%,100%,998 mb,Poor,2019-12-23
3830,18:00,5 °c,2 °c,20 km/h from WSW,32 km/h,0.1 mm,78%,83%,1000 mb,Excellent,2019-12-23
3831,21:00,5 °c,1 °c,17 km/h from SW,27 km/h,0.0 mm,84%,14%,1001 mb,Excellent,2019-12-23
3832,00:00,6 °c,3 °c,20 km/h from SW,29 km/h,0.0 mm,83%,68%,1001 mb,Excellent,2019-12-24
3833,03:00,5 °c,2 °c,15 km/h from SW,22 km/h,0.0 mm,88%,100%,1001 mb,Excellent,2019-12-24
3834,06:00,4 °c,2 °c,12 km/h from SW,17 km/h,0.0 mm,88%,94%,1000 mb,Excellent,2019-12-24
3835,09:00,4 °c,2 °c,9 km/h from SW,13 km/h,0.0 mm,86%,81%,1001 mb,Excellent,2019-12-24
3836,12:00,5 °c,2 °c,10 km/h from SW,13 km/h,0.0 mm,89%,87%,1001 mb,Excellent,2019-12-24
3837,15:00,5 °c,3 °c,12 km/h from WSW,16 km/h,0.0 mm,85%,80%,1003 mb,Excellent,2019-12-24
3838,18:00,4 °c,1 °c,11 km/h from W,17 km/h,0.0 mm,91%,41%,1006 mb,Excellent,2019-12-24
3839,21:00,-1 °c,-1 °c,13 km/h from WSW,21 km/h,0.0 mm,89%,49%,1009 mb,Excellent,2019-12-24
3840,00:00,4 °c,0 °c,12 km/h from WSW,21 km/h,0.0 mm,92%,23%,1013 mb,Excellent,2019-12-25
3841,03:00,4 °c,0 °c,15 km/h from WSW,26 km/h,0.0 mm,89%,44%,1015 mb,Excellent,2019-12-25
3842,06:00,4 °c,0 °c,13 km/h from WSW,24 km/h,0.0 mm,90%,10%,1017 mb,Excellent,2019-12-25
3843,09:00,3 °c,0 °c,11 km/h from WSW,21 km/h,0.0 mm,93%,18%,1020 mb,Excellent,2019-12-25
3844,12:00,6 °c,3 °c,10 km/h from WSW,15 km/h,0.0 mm,88%,7%,1021 mb,Excellent,2019-12-25
3845,15:00,5 °c,4 °c,7 km/h from WSW,11 km/h,0.0 mm,91%,11%,1022 mb,Excellent,2019-12-25
3846,18:00,3 °c,1 °c,5 km/h from SW,10 km/h,0.0 mm,93%,25%,1022 mb,Excellent,2019-12-25
3847,21:00,3 °c,2 °c,3 km/h from SE,6 km/h,0.0 mm,92%,39%,1022 mb,Excellent,2019-12-25
3848,00:00,3 °c,2 °c,6 km/h from ENE,11 km/h,0.0 mm,95%,93%,1020 mb,Poor,2019-12-26
3849,03:00,4 °c,1 °c,10 km/h from E,16 km/h,0.0 mm,92%,100%,1019 mb,Excellent,2019-12-26
3850,06:00,4 °c,1 °c,14 km/h from E,21 km/h,0.0 mm,93%,94%,1016 mb,Excellent,2019-12-26
3851,09:00,4 °c,1 °c,16 km/h from ESE,23 km/h,0.1 mm,82%,100%,1014 mb,Excellent,2019-12-26
3852,12:00,5 °c,1 °c,18 km/h from ESE,23 km/h,0.0 mm,82%,100%,1013 mb,Excellent,2019-12-26
3853,15:00,5 °c,2 °c,15 km/h from ESE,21 km/h,0.2 mm,89%,100%,1012 mb,Poor,2019-12-26
3854,18:00,3 °c,3 °c,8 km/h from E,12 km/h,0.0 mm,91%,100%,1013 mb,Excellent,2019-12-26
3855,21:00,-2 °c,-2 °c,7 km/h from E,10 km/h,0.2 mm,94%,100%,1015 mb,Poor,2019-12-26
3856,00:00,5 °c,3 °c,9 km/h from ESE,17 km/h,0.0 mm,93%,32%,1020 mb,Excellent,2019-12-27
3857,03:00,4 °c,3 °c,5 km/h from SE,11 km/h,0.0 mm,93%,72%,1021 mb,Excellent,2019-12-27
3858,06:00,4 °c,3 °c,4 km/h from ESE,9 km/h,0.0 mm,92%,42%,1022 mb,Excellent,2019-12-27
3859,09:00,4 °c,4 °c,3 km/h from SSE,6 km/h,0.0 mm,93%,70%,1024 mb,Excellent,2019-12-27
3860,12:00,6 °c,6 °c,4 km/h from SE,6 km/h,0.4 mm,94%,100%,1024 mb,Poor,2019-12-27
3861,15:00,7 °c,7 °c,3 km/h from SE,6 km/h,0.0 mm,94%,77%,1024 mb,Excellent,2019-12-27
3862,18:00,4 °c,4 °c,9 km/h from SSW,18 km/h,0.0 mm,93%,100%,1026 mb,Excellent,2019-12-27
3863,21:00,0 °c,0 °c,9 km/h from SSW,18 km/h,0.0 mm,91%,83%,1027 mb,Excellent,2019-12-27
3864,00:00,7 °c,6 °c,8 km/h from WSW,15 km/h,0.3 mm,95%,100%,1028 mb,Poor,2019-12-28
3865,03:00,8 °c,7 °c,6 km/h from S,14 km/h,0.4 mm,93%,86%,1027 mb,Poor,2019-12-28
3866,06:00,9 °c,6 °c,17 km/h from SW,28 km/h,0.4 mm,90%,90%,1027 mb,Poor,2019-12-28
3867,09:00,9 °c,6 °c,23 km/h from SSW,37 km/h,0.0 mm,83%,15%,1027 mb,Excellent,2019-12-28
3868,12:00,10 °c,6 °c,23 km/h from SSW,34 km/h,0.0 mm,80%,71%,1027 mb,Excellent,2019-12-28
3869,15:00,9 °c,6 °c,26 km/h from SSW,38 km/h,0.0 mm,82%,100%,1026 mb,Excellent,2019-12-28
3870,18:00,9 °c,6 °c,24 km/h from SSW,36 km/h,0.0 mm,83%,37%,1026 mb,Excellent,2019-12-28
3871,21:00,5 °c,5 °c,24 km/h from SW,39 km/h,0.5 mm,86%,94%,1026 mb,Poor,2019-12-28
3872,00:00,9 °c,6 °c,22 km/h from SSW,37 km/h,0.3 mm,84%,85%,1026 mb,Good,2019-12-29
3873,03:00,9 °c,5 °c,25 km/h from SSW,42 km/h,0.0 mm,85%,91%,1023 mb,Excellent,2019-12-29
3874,06:00,9 °c,6 °c,28 km/h from SSW,49 km/h,0.0 mm,83%,13%,1021 mb,Excellent,2019-12-29
3875,09:00,9 °c,6 °c,28 km/h from SSW,48 km/h,0.0 mm,81%,14%,1021 mb,Excellent,2019-12-29
3876,12:00,11 °c,8 °c,28 km/h from SSW,40 km/h,0.0 mm,77%,8%,1021 mb,Excellent,2019-12-29
3877,15:00,10 °c,7 °c,24 km/h from SW,39 km/h,0.0 mm,78%,10%,1021 mb,Excellent,2019-12-29
3878,18:00,8 °c,5 °c,21 km/h from SW,40 km/h,0.0 mm,83%,14%,1021 mb,Excellent,2019-12-29
3879,21:00,3 °c,3 °c,26 km/h from SW,47 km/h,0.0 mm,85%,37%,1020 mb,Excellent,2019-12-29
3880,00:00,9 °c,6 °c,24 km/h from SW,43 km/h,0.0 mm,86%,71%,1021 mb,Excellent,2019-12-30
3881,03:00,9 °c,6 °c,20 km/h from SW,36 km/h,0.0 mm,87%,74%,1020 mb,Excellent,2019-12-30
3882,06:00,8 °c,6 °c,17 km/h from SSW,31 km/h,0.0 mm,84%,56%,1020 mb,Excellent,2019-12-30
3883,09:00,9 °c,6 °c,21 km/h from SW,35 km/h,0.0 mm,85%,72%,1021 mb,Excellent,2019-12-30
3884,12:00,10 °c,7 °c,20 km/h from WSW,28 km/h,0.0 mm,86%,100%,1022 mb,Excellent,2019-12-30
3885,15:00,9 °c,7 °c,17 km/h from WSW,24 km/h,0.0 mm,89%,100%,1023 mb,Excellent,2019-12-30
3886,18:00,8 °c,6 °c,10 km/h from W,17 km/h,0.0 mm,87%,13%,1025 mb,Excellent,2019-12-30
3887,21:00,6 °c,6 °c,3 km/h from NNE,5 km/h,0.0 mm,82%,41%,1027 mb,Excellent,2019-12-30
3888,00:00,5 °c,4 °c,7 km/h from SW,10 km/h,0.0 mm,83%,0%,1030 mb,Excellent,2019-12-31
3889,03:00,5 °c,3 °c,6 km/h from WSW,9 km/h,0.0 mm,84%,0%,1032 mb,Excellent,2019-12-31
3890,06:00,3 °c,3 °c,3 km/h from SW,6 km/h,0.0 mm,82%,3%,1032 mb,Excellent,2019-12-31
3891,09:00,5 °c,5 °c,1 km/h from WSW,2 km/h,0.0 mm,79%,0%,1034 mb,Excellent,2019-12-31
3892,12:00,8 °c,8 °c,3 km/h from SW,3 km/h,0.0 mm,70%,0%,1034 mb,Excellent,2019-12-31
3893,15:00,6 °c,5 °c,8 km/h from SW,9 km/h,0.0 mm,73%,0%,1033 mb,Excellent,2019-12-31
3894,18:00,4 °c,2 °c,10 km/h from WSW,14 km/h,0.0 mm,82%,0%,1032 mb,Excellent,2019-12-31
3895,21:00,4 °c,1 °c,10 km/h from SW,16 km/h,0.0 mm,85%,1%,1032 mb,Excellent,2019-12-31
3896,00:00,2 °c,-2 °c,12 km/h from WSW,24 km/h,0.0 mm,86%,17%,1029 mb,Excellent,2020-01-01
3897,03:00,4 °c,0 °c,19 km/h from SW,32 km/h,0.0 mm,89%,87%,1027 mb,Excellent,2020-01-01
3898,06:00,5 °c,1 °c,15 km/h from WSW,29 km/h,0.0 mm,91%,39%,1025 mb,Excellent,2020-01-01
3899,09:00,5 °c,1 °c,19 km/h from SW,32 km/h,0.0 mm,91%,79%,1024 mb,Excellent,2020-01-01
3900,12:00,7 °c,3 °c,26 km/h from SW,35 km/h,0.0 mm,82%,63%,1023 mb,Excellent,2020-01-01
3901,15:00,6 °c,3 °c,19 km/h from SW,29 km/h,0.0 mm,84%,29%,1021 mb,Excellent,2020-01-01
3902,18:00,5 °c,1 °c,21 km/h from SW,32 km/h,0.0 mm,85%,27%,1020 mb,Excellent,2020-01-01
3903,21:00,5 °c,2 °c,17 km/h from SW,28 km/h,0.0 mm,84%,52%,1018 mb,Excellent,2020-01-01
3904,00:00,6 °c,3 °c,16 km/h from SW,27 km/h,0.0 mm,86%,9%,1016 mb,Excellent,2020-01-02
3905,03:00,7 °c,3 °c,22 km/h from SSW,36 km/h,0.0 mm,86%,15%,1012 mb,Excellent,2020-01-02
3906,06:00,8 °c,4 °c,32 km/h from SW,49 km/h,0.0 mm,82%,3%,1009 mb,Excellent,2020-01-02
3907,09:00,9 °c,5 °c,33 km/h from SW,48 km/h,0.0 mm,82%,72%,1007 mb,Excellent,2020-01-02
3908,12:00,10 °c,6 °c,33 km/h from SSW,45 km/h,0.0 mm,80%,92%,1004 mb,Excellent,2020-01-02
3909,15:00,11 °c,7 °c,30 km/h from SW,43 km/h,1.3 mm,83%,100%,1001 mb,Excellent,2020-01-02
3910,18:00,10 °c,7 °c,30 km/h from SW,45 km/h,2.4 mm,80%,69%,999 mb,Excellent,2020-01-02
3911,21:00,6 °c,6 °c,33 km/h from SW,46 km/h,0.5 mm,83%,98%,999 mb,Poor,2020-01-02
3912,00:00,9 °c,7 °c,17 km/h from WNW,24 km/h,0.2 mm,86%,96%,1004 mb,Poor,2020-01-03
3913,03:00,5 °c,2 °c,13 km/h from W,19 km/h,0.0 mm,73%,40%,1010 mb,Excellent,2020-01-03
3914,06:00,5 °c,2 °c,14 km/h from W,22 km/h,0.0 mm,71%,71%,1014 mb,Excellent,2020-01-03
3915,09:00,5 °c,2 °c,16 km/h from WSW,24 km/h,0.0 mm,77%,55%,1016 mb,Excellent,2020-01-03
3916,12:00,6 °c,3 °c,17 km/h from WSW,23 km/h,0.0 mm,74%,62%,1019 mb,Excellent,2020-01-03
3917,15:00,6 °c,2 °c,16 km/h from WSW,24 km/h,0.0 mm,73%,71%,1020 mb,Excellent,2020-01-03
3918,18:00,5 °c,1 °c,24 km/h from WSW,40 km/h,0.0 mm,77%,41%,1022 mb,Excellent,2020-01-03
3919,21:00,5 °c,1 °c,23 km/h from WSW,41 km/h,0.0 mm,81%,100%,1023 mb,Excellent,2020-01-03
3920,00:00,6 °c,2 °c,26 km/h from WSW,43 km/h,0.1 mm,78%,58%,1024 mb,Excellent,2020-01-04
3921,03:00,7 °c,3 °c,27 km/h from WSW,41 km/h,0.0 mm,82%,100%,1023 mb,Excellent,2020-01-04
3922,06:00,8 °c,4 °c,24 km/h from WSW,39 km/h,0.2 mm,81%,100%,1024 mb,Poor,2020-01-04
3923,09:00,8 °c,5 °c,20 km/h from WSW,30 km/h,0.0 mm,84%,67%,1025 mb,Excellent,2020-01-04
3924,12:00,9 °c,5 °c,22 km/h from WSW,30 km/h,0.1 mm,86%,100%,1027 mb,Excellent,2020-01-04
3925,15:00,8 °c,5 °c,22 km/h from WSW,31 km/h,0.0 mm,87%,100%,1027 mb,Excellent,2020-01-04
3926,18:00,7 °c,4 °c,24 km/h from WSW,39 km/h,0.0 mm,87%,82%,1027 mb,Excellent,2020-01-04
3927,21:00,7 °c,3 °c,25 km/h from SW,45 km/h,0.0 mm,85%,29%,1026 mb,Excellent,2020-01-04
3928,00:00,7 °c,2 °c,29 km/h from SW,51 km/h,0.0 mm,85%,63%,1025 mb,Excellent,2020-01-05
3929,03:00,7 °c,3 °c,27 km/h from WSW,44 km/h,0.0 mm,83%,37%,1024 mb,Excellent,2020-01-05
3930,06:00,7 °c,4 °c,22 km/h from SW,36 km/h,0.0 mm,84%,79%,1023 mb,Excellent,2020-01-05
3931,09:00,8 °c,5 °c,25 km/h from SW,36 km/h,0.0 mm,82%,91%,1022 mb,Excellent,2020-01-05
3932,12:00,9 °c,6 °c,25 km/h from SW,35 km/h,0.0 mm,83%,99%,1022 mb,Excellent,2020-01-05
3933,15:00,10 °c,6 °c,25 km/h from SW,35 km/h,0.0 mm,83%,100%,1020 mb,Excellent,2020-01-05
3934,18:00,9 °c,6 °c,18 km/h from SSW,30 km/h,0.0 mm,84%,87%,1021 mb,Excellent,2020-01-05
3935,21:00,5 °c,5 °c,19 km/h from SSW,30 km/h,0.0 mm,87%,67%,1019 mb,Excellent,2020-01-05
3936,00:00,9 °c,6 °c,23 km/h from SSW,33 km/h,0.0 mm,83%,93%,1017 mb,Excellent,2020-01-06
3937,03:00,9 °c,6 °c,20 km/h from SSW,28 km/h,0.0 mm,78%,82%,1014 mb,Excellent,2020-01-06
